#lat_deg,#lon_deg,#clean_adm2,#water_source_category,#water_tech_category,#install_year,#management_clean,#subjective_quality,water_point_population,local_population_1km,crucialness_score
5.016205,7.8426283,Uyo,Well,Mechanized Pump,2006,NA,No because of Taste,NA,NA,NA
4.329135,6.0544483,Brass,Well,Mechanized Pump,2010,NA,No because of Colour,NA,NA,NA
4.8083183,8.0658017,Okobo,Well,Mechanized Pump,2004,NA,No because of Colour,NA,NA,NA
5.9209092,8.2113885,Obubra,Well,Hand Pump,2003,Community Management,Acceptable quality,NA,NA,NA
6.8005933,6.43271,Esan North-East,Well,Mechanized Pump,NA,Other,Acceptable quality,NA,NA,NA
7.4289715,10.306915,Donga,Well,Mechanized Pump,2000,Community Management,Acceptable quality,NA,NA,NA
9.1672876,9.1570058,Mangu,Well,Mechanized Pump,2010,NA,Acceptable quality,NA,NA,NA
4.9760067,7.1906117,Ukwa West,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
4.83841,8.0032967,Nsit Atai,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
7.8846087,7.0637993,Bassa,Well,Hand Pump,NA,Direct Government Operation,Acceptable quality,NA,NA,NA
7.9965781,7.3207741,Bassa,Well,Mechanized Pump,2005,NA,Acceptable quality,NA,NA,NA
5.7793467,5.0708283,Warri North,Well,Mechanized Pump,2010,NA,No because of Taste,NA,NA,NA
4.7168267,6.1470183,Southern Ijaw,Well,Mechanized Pump,2012,NA,No because of Colour,NA,NA,NA
7.4405234,6.0686672,Akoko-Edo,Well,Hand Pump,2015,NA,No because of Taste,NA,NA,NA
5.0440883,7.8702017,Itu,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
6.373262,5.6094382,Egor,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
4.6387683,7.660535,Ikot Abasi,Well,Hand Pump,2000,NA,No because of Taste,NA,NA,NA
9.64039,11.262661,Shomgom,Well,Hand Pump,2013,NA,Acceptable quality,NA,NA,NA
7.0742396,6.2589838,Etsako West,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
8.3795824,6.9248332,Kogi,Well,Mechanized Pump,2008,NA,No because of Odour,NA,NA,NA
5.7617481,7.0718869,Orlu,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
4.8062033,8.232315,Oron,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
11.791167,8.6402817,Dawakin Kudu,Well,Hand Pump,NA,Community Management,Acceptable quality,NA,NA,NA
8.9125491,3.1994829,Baruten,Well,Hand Pump,NA,NA,Acceptable quality,NA,NA,NA
4.8087867,8.254875,Calabar South,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
4.65591,8.25158,Mbo,Well,Mechanized Pump,2008,NA,No because of Taste,NA,NA,NA
4.6511059,7.4928467,Khana,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
5.9118767,6.22224,Ukwuani,Well,Mechanized Pump,2009,Direct Government Operation,Acceptable quality,NA,NA,NA
4.6272383,6.17138,Southern Ijaw,Well,NA,1993,NA,No because of Colour,NA,NA,NA
4.9522233,8.0286567,Uruan,Well,Mechanized Pump,2013,NA,No because of Taste,NA,NA,NA
10.425957,11.378293,Yamaltu/Deba,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
4.9269033,7.784295,Abak,Well,Mechanized Pump,2011,NA,No because of Colour,NA,NA,NA
5.0382067,7.6787667,Essien Udim,Well,Mechanized Pump,2005,NA,No because of Colour,NA,NA,NA
7.7594483,4.5639983,Osogbo,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
5.1340117,7.8779067,Ibiono Ibom,Well,Mechanized Pump,2013,NA,No because of Colour,NA,NA,NA
5.9204871,8.2123312,Obubra,Well,Hand Pump,2003,Community Management,Acceptable quality,NA,NA,NA
6.3141354,5.8507185,Uhunmwonde,Well,NA,NA,NA,No because of Colour,NA,NA,NA
7.0739515,6.2593579,Etsako West,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
11.835092,8.733465,Warawa,Well,Hand Pump,NA,Community Management,Acceptable quality,NA,NA,NA
5.9214343,8.2110488,Obubra,Well,Hand Pump,1983,Community Management,No because of Taste,NA,NA,NA
5.104075,7.762215,Essien Udim,Well,Mechanized Pump,2009,NA,No because of Colour,NA,NA,NA
5.8406967,6.2934067,Ukwuani,Well,Mechanized Pump,2005,NA,No because of Taste,NA,NA,NA
6.3915933,8.6427533,Ogoja,Well,Hand Pump,NA,NA,Acceptable quality,NA,NA,NA
5.0873683,7.725095,Essien Udim,Well,Mechanized Pump,2000,NA,No because of Colour,NA,NA,NA
4.9513867,7.8413133,Nsit Ibom,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
4.9916017,7.401014,Ugwunagbo,Well,NA,NA,NA,Acceptable quality,NA,NA,NA
4.7010983,6.0330117,Southern Ijaw,Well,NA,1995,NA,No because of Colour,NA,NA,NA
4.9071583,7.6292533,Ukanafun,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
11.050182,10.844403,Dukku,Well,Hand Pump,2013,NA,Acceptable quality,NA,NA,NA
4.7472433,8.2268967,Udung Uko,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
4.6627017,8.179985,Urue Offong,Well,Mechanized Pump,1990,NA,No because of Taste,NA,NA,NA
5.1217217,7.6627233,Essien Udim,Well,Mechanized Pump,2005,NA,No because of Colour,NA,NA,NA
5.044539,7.3833595,Ugwunagbo,Well,Hand Pump,NA,NA,Acceptable quality,NA,NA,NA
5.20152,7.6451183,Ikot Ekpene,Well,Mechanized Pump,2006,NA,No because of Colour,NA,NA,NA
8.0745395,5.3185347,Ekiti,Well,Hand Pump,2000,NA,No because of Colour,NA,NA,NA
11.931738,8.6352633,Warawa,Well,Hand Pump,NA,Community Management,No because of Odour,NA,NA,NA
4.697935,6.087895,Southern Ijaw,Well,Mechanized Pump,2012,NA,No because of Colour,NA,NA,NA
4.8968617,7.886675,Nsit Ibom,Well,Hand Pump,1992,NA,Acceptable quality,NA,NA,NA
8.0853566,5.156589,Oke-Ero,Well,NA,2000,Community Management,No because of Odour,NA,NA,NA
4.9285633,7.7889233,Abak,Well,Mechanized Pump,2012,NA,No because of Taste,NA,NA,NA
5.2642567,7.627095,Obot Akara,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
4.9455612,8.3161649,Calabar,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
5.13171,7.6176183,Essien Udim,Well,Mechanized Pump,2012,NA,No because of Colour,NA,NA,NA
8.0311867,4.6374,Odo-Otin,Well,Mechanized Pump,2004,NA,Acceptable quality,NA,NA,NA
10.542265,11.426385,Kwami,Well,Mechanized Pump,2000,NA,Acceptable quality,NA,NA,NA
11.679238,8.68062,Bunkure,Well,Hand Pump,NA,Community Management,No because of Colour,NA,NA,NA
5.5110503,7.0379323,Owerri North,Well,Mechanized Pump,1984,NA,Acceptable quality,NA,NA,NA
11.825282,8.7670083,Warawa,Well,Hand Pump,NA,Community Management,No because of Colour,NA,NA,NA
5.0384717,7.960905,Uyo,Well,Mechanized Pump,2008,NA,No because of Taste,NA,NA,NA
5.2818767,7.6308067,Obot Akara,Well,Mechanized Pump,2012,NA,No because of Colour,NA,NA,NA
8.7769097,9.18569,Qua'an Pan,Well,NA,2014,NA,No because of Colour,NA,NA,NA
10.572932,11.413702,Kwami,Well,Hand Pump,2005,NA,Acceptable quality,NA,NA,NA
4.9755933,5.64138,Ekeremor,Well,Mechanized Pump,2010,NA,No because of Taste,NA,NA,NA
4.924035,8.1039683,Uruan,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
5.1429783,7.5504167,Essien Udim,Well,Mechanized Pump,2006,NA,No because of Colour,NA,NA,NA
11.859013,8.6523633,Dawakin Kudu,Well,Hand Pump,NA,Community Management,Acceptable quality,NA,NA,NA
5.39633,7.3401883,Isiala Ngwa North,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
8.3828633,9.3324606,Awe,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
8.5744867,8.3205867,Lafia,Well,Mechanized Pump,NA,NA,No because of Odour,NA,NA,NA
5.8432333,6.2995917,Ukwuani,Well,Mechanized Pump,2014,NA,No because of Taste,NA,NA,NA
7.3689517,5.8260083,Ose,Well,Hand Pump,2009,NA,Acceptable quality,NA,NA,NA
9.4382006,9.4908975,Kanke,Well,Hand Pump,NA,NA,No because of Colour,NA,NA,NA
4.9097467,7.225545,Ukwa West,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
11.791613,8.6061033,Dawakin Kudu,Well,Hand Pump,NA,Direct Government Operation,Acceptable quality,NA,NA,NA
5.136115,7.5593083,Essien Udim,Well,Mechanized Pump,2005,NA,No because of Colour,NA,NA,NA
4.32181,6.0662583,Brass,Well,Mechanized Pump,2008,NA,No because of Odour,NA,NA,NA
11.834003,8.7342583,Warawa,Well,Hand Pump,NA,Community Management,No because of Taste,NA,NA,NA
5.5112733,7.0395161,Owerri North,Well,Mechanized Pump,1984,NA,Acceptable quality,NA,NA,NA
11.838822,8.729925,Warawa,Well,Hand Pump,NA,Community Management,Acceptable quality,NA,NA,NA
5.6604516,6.9942318,Oru East,Well,Mechanized Pump,2011,NA,Acceptable quality,NA,NA,NA
11.880048,8.5650467,Kumbotso,Well,Hand Pump,NA,NA,No because of Colour,NA,NA,NA
4.7099333,5.9972083,Southern Ijaw,Well,NA,NA,NA,No because of Colour,NA,NA,NA
5.8431267,6.2996367,Ukwuani,Well,Mechanized Pump,2014,NA,No because of Colour,NA,NA,NA
5.0379725,7.3591104,Ugwunagbo,Well,Hand Pump,NA,NA,Acceptable quality,NA,NA,NA
5.1779483,7.72442,Ikot Ekpene,Well,Mechanized Pump,2009,NA,Acceptable quality,NA,NA,NA
8.98171,8.5281667,Wamba,Well,Mechanized Pump,NA,NA,No because of Odour,NA,NA,NA
5.13526,7.729655,Ikot Ekpene,Well,Mechanized Pump,2010,NA,No because of Taste,NA,NA,NA
4.7171267,8.1410733,Urue Offong,Well,Mechanized Pump,2010,NA,No because of Taste,NA,NA,NA
11.789697,8.7825083,Dawakin Kudu,Well,Hand Pump,NA,Community Management,No because of Colour,NA,NA,NA
4.9269317,7.245875,Ukwa West,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
10.39722,11.382993,Yamaltu/Deba,Well,Hand Pump,NA,NA,Acceptable quality,NA,NA,NA
7.8911367,4.7134383,Boripe,Well,Mechanized Pump,2006,NA,Acceptable quality,NA,NA,NA
5.0992267,7.7602417,Essien Udim,Well,Mechanized Pump,1993,NA,No because of Colour,NA,NA,NA
6.033415,8.7524183,Ikom,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
4.83492,7.8826133,Nsit Ibom,Well,Mechanized Pump,2005,NA,No because of Colour,NA,NA,NA
5.10171,7.9849983,Itu,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
7.5095883,4.2650017,Ayedire,Well,NA,2014,NA,No because of Taste,NA,NA,NA
6.5258817,8.8099133,Boki,Well,Hand Pump,NA,NA,No because of Taste,NA,NA,NA
11.826625,8.5820967,Dawakin Kudu,Well,Hand Pump,NA,Community Management,No because of Colour,NA,NA,NA
5.0255799,7.345503,Ugwunagbo,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
8.2212234,5.2936987,Oke-Ero,Well,Mechanized Pump,2003,Community Management,No because of Colour,NA,NA,NA
7.1415262,5.9831238,Owan East,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
11.832587,8.7304433,Warawa,Well,Hand Pump,NA,Community Management,No because of Taste,NA,NA,NA
11.782413,8.68258,Dawakin Kudu,Well,Hand Pump,NA,Community Management,No because of Colour,NA,NA,NA
11.806603,8.7300867,Dawakin Kudu,Well,Hand Pump,NA,Community Management,No because of Colour,NA,NA,NA
6.0083592,9.0571611,Boki,Well,Mechanized Pump,2014,NA,No because of Colour,NA,NA,NA
11.835205,8.5931333,Dawakin Kudu,Well,Hand Pump,NA,Community Management,No because of Colour,NA,NA,NA
11.798092,8.6454983,Dawakin Kudu,Well,Hand Pump,NA,Direct Government Operation,Acceptable quality,NA,NA,NA
11.880292,8.6620767,Warawa,Well,Hand Pump,NA,Community Management,No because of Colour,NA,NA,NA
12.022632,11.27672,Fune,Well,Mechanized Pump,1983,NA,Acceptable quality,NA,NA,NA
11.827692,8.7315233,Warawa,Well,Hand Pump,NA,Community Management,No because of Taste,NA,NA,NA
11.879008,8.6827983,Warawa,Well,Hand Pump,NA,Community Management,No because of Colour,NA,NA,NA
10.393312,11.379573,Yamaltu/Deba,Well,Hand Pump,NA,NA,Acceptable quality,NA,NA,NA
11.050188,10.841305,Dukku,Well,Hand Pump,2011,NA,Acceptable quality,NA,NA,NA
11.80665,8.7296967,Dawakin Kudu,Well,Hand Pump,NA,Community Management,No because of Taste,NA,NA,NA
11.801723,8.619995,Dawakin Kudu,Well,Hand Pump,NA,Community Management,No because of Colour,NA,NA,NA
11.848555,8.67407,Dawakin Kudu,Well,Hand Pump,NA,School Management,Acceptable quality,NA,NA,NA
12.389712,10.582387,Zaki,Well,Mechanized Pump,2011,NA,Acceptable quality,NA,NA,NA
4.5268117,7.748185,Eastern Obolo,Well,Mechanized Pump,2011,NA,No because of Taste,NA,NA,NA
11.832773,8.7295433,Warawa,Well,Hand Pump,NA,Community Management,No because of Taste,NA,NA,NA
11.825185,8.69021,Dawakin Kudu,Well,Hand Pump,NA,Community Management,No because of Colour,NA,NA,NA
6.783210199999977,7.604793000000006,Isi-Uzo,Well,Hand Pump,NA,NA,Within National standards (potable),3814,3880,0.982989690721649
6.799595099999997,7.61545100000001,Udenu,Well,Hand Pump,NA,NA,Within National standards (potable),3723,7569,0.491874752279033
6.762374899999978,7.659910499999997,Isi-Uzo,Well,Hand Pump,NA,NA,Within National standards (potable),572,1582,0.361567635903919
6.759298299999966,7.59962000000001,Isi-Uzo,Well,Hand Pump,NA,NA,Within National standards (potable),2489,5032,0.494634340222576
10.601045,10.4731752,Kirfi,Well,Mechanized Pump,2009,Community Management,Within National limits (potable),320,677,0.472673559822747
4.8323299,7.0038872,Obio/Akpor,Well,Mechanized Pump,2009,Community Management,Acceptable quality,763,4135,0.184522370012092
4.833267,7.0037652,Obio/Akpor,Well,Mechanized Pump,2009,Community Management,Acceptable quality,824,4135,0.199274486094317
5.08277,7.3209983,Aba South,Well,Hand Pump,NA,NA,Acceptable quality,10023,11717,0.855423743278996
4.9891017,5.8053233,Ekeremor,Well,Mechanized Pump,NA,NA,Acceptable quality,1378,4135,0.333252720677146
4.8252017,8.4526117,Akpabuyo,Well,Hand Pump,NA,NA,Acceptable quality,255,366,0.69672131147541
4.9573467,7.5829549,Etim Ekpo,Well,Mechanized Pump,2000,NA,No because of Taste,2478,2478,1
4.9121967,7.8159117,Uyo,Well,Mechanized Pump,2012,NA,No because of Taste,138,648,0.212962962962963
5.5665291,6.889509,Oguta,Well,Mechanized Pump,NA,NA,Acceptable quality,423,489,0.865030674846626
5.5002761,6.7292911,Ohaji/Egbema,Well,Hand Pump,NA,NA,Acceptable quality,406,2823,0.14381863266029
4.9559233,7.83803,Etinan,Well,Mechanized Pump,2011,NA,No because of Taste,3946,3946,1
4.9500813,8.3097663,Calabar,Well,Hand Pump,NA,Direct Government Operation,Acceptable quality,76,653,0.116385911179173
4.9983817,7.4979033,Ika,Well,Hand Pump,NA,NA,No because of Colour,100,100,1
5.9894682,6.7341084,Ogbaru,Well,Mechanized Pump,NA,Community Management,Acceptable quality,4391,12499,0.351308104648372
4.8862283,8.4096233,Akpabuyo,Well,Mechanized Pump,NA,NA,Acceptable quality,2234,2234,1
4.6083631,7.6733626,Ikot Abasi,Well,Mechanized Pump,NA,NA,Acceptable quality,1301,2772,0.469336219336219
4.9752267,7.7688933,Abak,Well,Mechanized Pump,2014,NA,No because of Colour,7110,7110,1
4.9598146,8.3400941,Calabar,Well,Mechanized Pump,1976,NA,No because of Taste,2137,2652,0.805806938159879
4.7450314,7.3602074,Khana,Well,Mechanized Pump,2007,NA,No because of Colour,15676,30542,0.51326042826272
4.8234505,8.1743786,Okobo,Well,Mechanized Pump,2013,Other,Acceptable quality,228,228,1
4.9112383,7.9756217,Ibesikpo Asutan,Well,Mechanized Pump,2009,NA,Acceptable quality,134,134,1
5.5468994,6.9002885,Oguta,Well,Mechanized Pump,NA,NA,Acceptable quality,1175,3083,0.381122283490107
4.63186,7.8304967,Onna,Well,Hand Pump,1984,NA,Acceptable quality,4504,10233,0.440144630118245
5.0732383,7.3300833,Aba South,Well,Mechanized Pump,NA,NA,Acceptable quality,18917,22065,0.85733061409472
4.7377204,6.8628604,Asari-Toru,Well,Mechanized Pump,2008,NA,No because of Taste,3057,65873,0.046407481062044
